公司	类型	时间	名称	内容	金额	占比	金额单位
北京锋尚世纪文化传媒股份有限公司	客户	2017年度	杭州印象西湖文化发展有限公司	未提及	3,472.83	16.84%	万元
北京锋尚世纪文化传媒股份有限公司	客户	2017年度	杭州市商贸旅游集团有限公司	未提及	314.64	1.53%	万元
北京锋尚世纪文化传媒股份有限公司	供应商	2016年度	北京东方浩阳文化传媒有限公司	舞美方案设计，设备配备、安装、调试、现场操作和管理	577.46 8.84%	万元
北京锋尚世纪文化传媒股份有限公司	供应商	2016年度	广州市明道灯光科技股份有限公司	灯光设备	400.85	6.14%	万元
浙江正特股份有限公司	供应商	2017年1-6月	临海市和美休闲用品有限公司	金工件；金加工环节	1,086.20 未提及	万元
浙江正特股份有限公司	供应商	2014年年度	临海市和美休闲用品有限公司	金工件；金加工环节	572.01	未提及	万元
浙江正特股份有限公司	供应商	2017 年 1-6月	临海市和美休闲用品有限公司	未提及	313.54	未提及	万元
浙江正特股份有限公司	客户	2017 年 上半年	美国沃尔玛	折叠篷	14,842.34	28.72%	万元
浙江正特股份有限公司	客户	2014年度	美国JEC	宠物屋	7874.91	12.69%	万元
